CAMIS,DBA,BORO,BUILDING,STREET,CITY,STATE,ZIPCODE,PHONE,CUISINECODE,FULL_ADDR
40550548,GOODY'S BBQ,4,70-18,AMSTEL BOULEVARD,ARVERNE,NY,11692,7183189616,17,"70-18 AMSTEL BOULEVARD, ARVERNE, NY 11692"
41214602,CHINA KINGS,4,70-01,BEACH CHANNEL DRIVE,ARVERNE,NY,11692,7186348257,20,"70-01 BEACH CHANNEL DRIVE, ARVERNE, NY 11692"
41641906,SUBWAY,4,6820,ROCKAWAY BEACH BOULEVARD,ARVERNE,NY,11692,3472469650,69,"6820 ROCKAWAY BEACH BOULEVARD, ARVERNE, NY 11692"
40361998,STEVE CHU'S DELI & GROCERY,4,3406,10 STREET,ASTORIA,NY,11106,7187268888,27,"3406 10 STREET, ASTORIA, NY 11106"
40364920,RIZZO'S FINE PIZZA,4,30-13,STEINWAY STREET,ASTORIA,NY,11103,7187219862,62,"30-13 STEINWAY STREET, ASTORIA, NY 11103"
40365844,LAVELLE'S ADMIRAL'S CLUB,4,45-15,BROADWAY,ASTORIA,NY,11103,6462675147,03,"45-15 BROADWAY, ASTORIA, NY 11103"
40367232,O'HANLON BAR & GRILL,4,22-57,31 STREET,ASTORIA,NY,11105,7187289619,47,"22-57 31 STREET, ASTORIA, NY 11105"
40367540,PICCOLA VENEZIA,4,42-01,28 AVENUE,ASTORIA,NY,11103,7187218470,48,"42-01 28 AVENUE, ASTORIA, NY 11103"
40372445,OMONIA CAFE,4,32-20,BROADWAY,ASTORIA,NY,11106,7182746650,38,"32-20 BROADWAY, ASTORIA, NY 11106"
40375371,PONTICELLO RESTAURANT,4,46-11,BROADWAY,ASTORIA,NY,11103,7182784514,48,"46-11 BROADWAY, ASTORIA, NY 11103"
40384920,VICTORY SWEET SHOP,4,21-69,STEINWAY STREET,ASTORIA,NY,11105,7182742087,08,"21-69 STEINWAY STREET, ASTORIA, NY 11105"
40385657,LEFKOS PYGOS CAFE,4,22-85,31 STREET,ASTORIA,NY,11105,7189324423,08,"22-85 31 STREET, ASTORIA, NY 11105"
40386069,DORAL DONUTS,4,31-16,BROADWAY,ASTORIA,NY,11106,7186266284,03,"31-16 BROADWAY, ASTORIA, NY 11106"
40388775,BASKIN ROBBINS,4,30-08,STEINWAY ST,ASTORIA,NY,11103,7182744688,43,"30-08 STEINWAY ST, ASTORIA, NY 11103"
40389115,SAC'S PLACE,4,25-41,BROADWAY,ASTORIA,NY,11106,7182045002,48,"25-41 BROADWAY, ASTORIA, NY 11106"
40390031,MCDONALD'S,4,31-67,STEINWAY STREET,ASTORIA,NY,11103,7182671343,39,"31-67 STEINWAY STREET, ASTORIA, NY 11103"
40391014,MCDONALD'S,4,22-50,31 STREET,ASTORIA,NY,11105,7189328690,39,"22-50 31 STREET, ASTORIA, NY 11105"
40391032,KABAB CAFE,4,25-12,STEINWAY STREET,ASTORIA,NY,11103,7187289858,31,"25-12 STEINWAY STREET, ASTORIA, NY 11103"
40393143,MCDONALD'S,4,32-55,31 STREET,ASTORIA,NY,11106,7185456803,39,"32-55 31 STREET, ASTORIA, NY 11106"
40394110,CRONIN & PHELAN PUB & RESTAURANT,4,38-14,BROADWAY,ASTORIA,NY,11103,7185458999,47,"38-14 BROADWAY, ASTORIA, NY 11103"
40395071,DUNKIN' DONUTS,4,31-14,DITMARS BOULEVARD,ASTORIA,NY,11105,7182743011,29,"31-14 DITMARS BOULEVARD, ASTORIA, NY 11105"
40395480,BROADWAY STATION,4,30-09,BROADWAY,ASTORIA,NY,11106,7185455869,03,"30-09 BROADWAY, ASTORIA, NY 11106"
40396256,RITMO'S 60,4,32-23,STEINWAY STREET,ASTORIA,NY,11103,7182041101,03,"32-23 STEINWAY STREET, ASTORIA, NY 11103"
40396267,ARHARN THAI CUISINE,4,32-05,36 AVENUE,ASTORIA,NY,11106,7187285563,82,"32-05 36 AVENUE, ASTORIA, NY 11106"
40396851,MIKE'S DINER,4,22-37,31 STREET,ASTORIA,NY,11105,7187219220,03,"22-37 31 STREET, ASTORIA, NY 11105"
40397139,THAI PAVILION,4,37-10,30 AVENUE,ASTORIA,NY,11103,7187775546,82,"37-10 30 AVENUE, ASTORIA, NY 11103"
40397810,OLYMPIA,4,23-44,STEINWAY STREET,ASTORIA,NY,11105,7182784460,03,"23-44 STEINWAY STREET, ASTORIA, NY 11105"
40398689,CAFFEE EXPRESS,4,25-51,STEINWAY STREET,ASTORIA,NY,11103,7182745980,14,"25-51 STEINWAY STREET, ASTORIA, NY 11103"
40399217,EL REY MEXICAN RESTAURANT,4,25-21,ASTORIA BOULEVARD,ASTORIA,NY,11102,7185452292,53,"25-21 ASTORIA BOULEVARD, ASTORIA, NY 11102"
40400021,DOYLE'S CORNER,4,42-02,BROADWAY,ASTORIA,NY,11103,7186062777,03,"42-02 BROADWAY, ASTORIA, NY 11103"
40400448,OPA! OPA! RESTAURANT,4,28-44,31 STREET,ASTORIA,NY,11102,7187283638,38,"28-44 31 STREET, ASTORIA, NY 11102"
40401151,EL OLIVO,4,21-15,31 STREET,ASTORIA,NY,11105,7189324040,53,"21-15 31 STREET, ASTORIA, NY 11105"
40401999,TIERRAS COLUMBIANAS,4,33-01,BROADWAY,ASTORIA,NY,11106,7189563012,77,"33-01 BROADWAY, ASTORIA, NY 11106"
40402007,GRAND AVENUE PIZZA,4,34-24,30 AVENUE,ASTORIA,NY,11103,7187288879,62,"34-24 30 AVENUE, ASTORIA, NY 11103"
40402285,OLYMPOS HOT BAGELS,4,33-15,30 AVENUE,ASTORIA,NY,11103,7187210600,08,"33-15 30 AVENUE, ASTORIA, NY 11103"
40402333,ASTORIA BAGEL SHOP,4,28-12,DITMARS BOULEVARD,ASTORIA,NY,11105,7187285169,07,"28-12 DITMARS BOULEVARD, ASTORIA, NY 11105"
40402337,J & M BAKERY,4,30-10,36 AVENUE,ASTORIA,NY,11106,7187841511,08,"30-10 36 AVENUE, ASTORIA, NY 11106"
40423638,ROSE & JOE'S BAKERY,4,22-40,31 STREET,ASTORIA,NY,11105,7187219422,08,"22-40 31 STREET, ASTORIA, NY 11105"
40512172,THE ASTORIA WORLD MANOR,4,25-22,_ASTORIA BOULEVARD,ASTORIA,NY,11102,7182787766,03,"25-22 _ASTORIA BOULEVARD, ASTORIA, NY 11102"
40512788,ELIA'S FISH CORNER,4,24-02,31 STREET,ASTORIA,NY,11102,7189321510,72,"24-02 31 STREET, ASTORIA, NY 11102"
40525884,ZLATA PRAHA RESTAURANT,4,28-48,31 STREET,ASTORIA,NY,11102,7187216422,30,"28-48 31 STREET, ASTORIA, NY 11102"
40526147,LOS AMIGOS MEXICAN RESTAURANT,4,22-73,31 STREET,ASTORIA,NY,11105,7187268708,55,"22-73 31 STREET, ASTORIA, NY 11105"
40530266,THE BAGEL HOUSE,4,38-11,DITMARS BOULEVARD,ASTORIA,NY,11105,7187261869,07,"38-11 DITMARS BOULEVARD, ASTORIA, NY 11105"
40542205,MINI STAR RESTAURANT,4,3002,STEINWAY ST,ASTORIA,NY,11103,7187289572,03,"3002 STEINWAY ST, ASTORIA, NY 11103"
40544267,UNITED CYPRIANS OF AMERICA,4,28-16,ASTORIA BOULEVARD,ASTORIA,NY,11102,7182789677,54,"28-16 ASTORIA BOULEVARD, ASTORIA, NY 11102"
40544613,CRESCENT CORNER,4,23-42,30 AVENUE,ASTORIA,NY,11102,7182780873,03,"23-42 30 AVENUE, ASTORIA, NY 11102"
40544948,ALBA'S PIZZA,4,36-20,DITMARS BOULEVARD,ASTORIA,NY,11105,7189325924,62,"36-20 DITMARS BOULEVARD, ASTORIA, NY 11105"
40545034,RICCARDO'S,4,21-01,24 AVENUE,ASTORIA,NY,11102,7187217777,03,"21-01 24 AVENUE, ASTORIA, NY 11102"
40545158,WENDY'S,4,30-91,STEINWAY STREET,ASTORIA,NY,11103,7187260449,39,"30-91 STEINWAY STREET, ASTORIA, NY 11103"
40545573,THE NEPTUNE DINER,4,31-05,ASTORIA BOULEVARD,ASTORIA,NY,11102,7182784853,03,"31-05 ASTORIA BOULEVARD, ASTORIA, NY 11102"
40545967,TASTEE CORNER,4,30-20,30 AVENUE,ASTORIA,NY,11102,7182747704,03,"30-20 30 AVENUE, ASTORIA, NY 11102"
