TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,2001 Campaign Contributions (Government/2001-Campaign-Contributions/735p-zed8),A listing of contributions for candidates for City office in 2001,https://data.cityofnewyork.us/Government/2001-Campaign-Contributions/735p-zed8,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,735p-zed8
Map,Basic Description of Colleges and Universities (Education/Basic-Description-of-Colleges-and-Universities/42xp-mmeq),Location of colleges and universities with basic descriptive information.,https://data.cityofnewyork.us/Education/Basic-Description-of-Colleges-and-Universities/42xp-mmeq,0,Education,"doitt gis, geographic, location, map, cartography, education, college, university, universities",0,42xp-mmeq
Map,Wifi Hotspot Locations (Media/Wifi-Hotspot-Locations/ehc4-fktp),Location of wifi hotspots in the city with basic descriptive information.,https://data.cityofnewyork.us/Media/Wifi-Hotspot-Locations/ehc4-fktp,60,Media,"doitt gis, geographic, location, map, cartography, services, wifi, wireless, hot spot, access, telecommunication",5,ehc4-fktp
Tabular,2001 Campaign Expenditures (Government/2001-Campaign-Expenditures/k3cd-yu9d),A listing of  expenditures for candidates for City office during the 2001 election cycle,https://data.cityofnewyork.us/Government/2001-Campaign-Expenditures/k3cd-yu9d,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,k3cd-yu9d
Blob,Hurricane Evacuation Zones (Public-Safety/Hurricane-Evacuation-Zones/7rse-pfp9),"This dataset shows hurricane evacuation zones used for communicating evacuation orders to the public. These zones indicate the areas at most risk of flooding due to storm surge during a hurricane. Zone A is the most at risk, followed by zone B, and then zone C.",https://data.cityofnewyork.us/Public-Safety/Hurricane-Evacuation-Zones/7rse-pfp9,0,Public Safety,"hurricane, evacuation, zone, emergency, storm, coastal storm, flood, flooding",0,7rse-pfp9
Tabular,2001 Campaign Payments (Government/2001-Campaign-Payments/8dhd-zvi6),A listing of public funds payments for candidates for City office during the 2001 election cycle,https://data.cityofnewyork.us/Government/2001-Campaign-Payments/8dhd-zvi6,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,8dhd-zvi6
Map,Subway Entrances (Transportation/Subway-Entrances/drex-xx56),Map of NYC Subway Entrances,https://data.cityofnewyork.us/Transportation/Subway-Entrances/drex-xx56,0,Transportation,"location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station",0,drex-xx56
Map,Green Market Locations (Environmental-Sustainability/Green-Market-Locations/26dn-w9sw),Location of green markets in the city with basic descriptive information.,https://data.cityofnewyork.us/Environmental-Sustainability/Green-Market-Locations/26dn-w9sw,80,Environmental Sustainability,"doitt gis, geographic, location, map, cartography, business, green, market, grocer, food, sale, sell",0,26dn-w9sw
Tabular,2003 Campaign Contributions (Government/2003-Campaign-Contributions/s79c-jgrm),A listing of campaign contributions for candidates for City office during the 2003 election cycle,https://data.cityofnewyork.us/Government/2003-Campaign-Contributions/s79c-jgrm,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,s79c-jgrm
Tabular,2003 Campaign Expenditures (Government/2003-Campaign-Expenditures/fbaw-uq4e),A listing of expenditures for candidates for City office during 2001 election cycle,https://data.cityofnewyork.us/Government/2003-Campaign-Expenditures/fbaw-uq4e,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,fbaw-uq4e
Map,Map of Parks (Facilities-and-Structures/Map-of-Parks/jc79-4imn),GIS Map of New York City Department of Parks & Recreation parks.,https://data.cityofnewyork.us/Facilities-and-Structures/Map-of-Parks/jc79-4imn,0,Facilities and Structures,"park, parks, nature, recreation, location, map, cartography, geographic",0,jc79-4imn
Map,Zip Codes Map (Social-Services/Zip-Codes-Map/zsjh-u7ve),Polygon representing the boundary of the zip codes in the city.,https://data.cityofnewyork.us/Social-Services/Zip-Codes-Map/zsjh-u7ve,0,Social Services,"geographic, location, map, cartography, zip, code, zip code, boundary",0,zsjh-u7ve
Tabular,2003 Campaign Payments (Government/2003-Campaign-Payments/ms66-xjfq),A listing of campaign payments for candidates for City office during 2001 election cycle,https://data.cityofnewyork.us/Government/2003-Campaign-Payments/ms66-xjfq,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,ms66-xjfq
Tabular,2005 Campaign Contributions (Government/2005-Campaign-Contributions/64gx-bycn),A listing of campaign contributions for candidates for City office during the 2005 election cycle,https://data.cityofnewyork.us/Government/2005-Campaign-Contributions/64gx-bycn,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,64gx-bycn
Tabular,2005 Campaign Expenditures (Government/2005-Campaign-Expenditures/easq-ubfe),A listing of campaign expendiures for candidates for City office during the 2005 election cycle,https://data.cityofnewyork.us/Government/2005-Campaign-Expenditures/easq-ubfe,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,easq-ubfe
Map,DYCD Literacy (Education/DYCD-Literacy/ty8z-v9d2),DYCD Literacy,https://data.cityofnewyork.us/Education/DYCD-Literacy/ty8z-v9d2,100,Education,"geographic, location, map, cartography, basemap, literacy, youth",0,ty8z-v9d2
Blob,Filming Locations (Scenes from the City) (Business-and-Economic/Filming-Locations-Scenes-from-the-City-/qb3k-n8mm),List of filming locations mentioned in the book Scenes from the City,https://data.cityofnewyork.us/Business-and-Economic/Filming-Locations-Scenes-from-the-City-/qb3k-n8mm,0,Business and Economic,"film, movie, scene, scenes from the city",0,qb3k-n8mm
Tabular,2005 Campaign Payments (Government/2005-Campaign-Payments/9mjx-v8ip),A listing of campaign public funds payments for candidates for City office during the 2005 election cycle,https://data.cityofnewyork.us/Government/2005-Campaign-Payments/9mjx-v8ip,0,Government,"finance, campaign finance board, cfb, nyccfb, campaign finance, elections, contributions, politics, campaign, funding",0,9mjx-v8ip
Tabular,2006-07 Class Size - By Borough (Education/2006-07-Class-Size-By-Borough/4g4r-7dfb),"Citywide Class Size Report, Borough, Program, and Grade or Service Category 
SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered
For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 
The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 
The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, â€œclusterâ€ù teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",https://data.cityofnewyork.us/Education/2006-07-Class-Size-By-Borough/4g4r-7dfb,0,Education,,0,4g4r-7dfb
Tabular,2006-07 Class Size - By District (Education/2006-07-Class-Size-By-District/nwrb-z58j),"Citywide Class Size Report, including District, Program, Grade or Service Category.
SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered
For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 
The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 
The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, â€œclusterâ€ù teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",https://data.cityofnewyork.us/Education/2006-07-Class-Size-By-District/nwrb-z58j,0,Education,,0,nwrb-z58j
Tabular,2006-07 Class Size - By Region (Education/2006-07-Class-Size-By-Region/weaz-wxw9),"Citywide Class Size Report, including Region, Program, Grade or Service Category.
SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered
For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 
The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 
The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, â€œclusterâ€ù teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",https://data.cityofnewyork.us/Education/2006-07-Class-Size-By-Region/weaz-wxw9,0,Education,,0,weaz-wxw9
Tabular,2006-07 Class Size - Citywide Summary (Education/2006-07-Class-Size-Citywide-Summary/w49k-mmkh),"Citywide Average Class Size Report Summary including Program and Grade or Service Category.
SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered
For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 
The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 
The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, â€œclusterâ€ù teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",https://data.cityofnewyork.us/Education/2006-07-Class-Size-Citywide-Summary/w49k-mmkh,0,Education,,0,w49k-mmkh
Tabular,2006-07 Class Size - School-level Detail (Education/2006-07-Class-Size-School-level-Detail/qfk7-6ens),"Citywide Class Size Report, including Region, District, School, Program, Grade or Service Category, Average Class Size, and Pupil / Teacher Ratio (PTR) 
SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered
For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 
The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 
The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, â€œclusterâ€ù teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers.",https://data.cityofnewyork.us/Education/2006-07-Class-Size-School-level-Detail/qfk7-6ens,0,Education,,0,qfk7-6ens
Blob,Parking Tickets (Transportation/Parking-Tickets/yyiw-ypks),"A listing of all NYC parking tickets sorted by summons number, license plate, issue date, violation, fine amount, and other categories",https://data.cityofnewyork.us/Transportation/Parking-Tickets/yyiw-ypks,0,Transportation,"department of finance, finance, dof, money, tickets, fines, traffic, parking ticket, violation, violations",3,yyiw-ypks
